arraySize,threshhold,hybridKeyComp,hybridTiming,mergeKeyComp,mergeTiming
1000000, 64, 35936643, 144, 18674402, 218
1000000, 64, 35891722, 96, 18674669, 165
1000000, 64, 35951515, 89, 18674311, 177
1000000, 64, 35945485, 80, 18673959, 152
1000000, 64, 35927945, 88, 18674265, 176
1000000, 64, 35905247, 80, 18674513, 152
1000000, 64, 35893346, 88, 18674156, 168
1000000, 64, 35936050, 117, 18673514, 183
1000000, 64, 35909957, 93, 18674376, 184
1000000, 64, 35917834, 92, 18674366, 191
1000000, 64, 35890244, 96, 18675453, 184
1000000, 64, 35890581, 88, 18673569, 176
1000000, 64, 35874998, 96, 18674169, 176
1000000, 64, 35934209, 88, 18673094, 168
1000000, 64, 35929978, 88, 18674781, 179
1000000, 64, 35947136, 96, 18674130, 160
1000000, 64, 35884231, 88, 18674097, 176
1000000, 64, 35927563, 104, 18674554, 169
1000000, 64, 35886161, 88, 18674089, 168
1000000, 64, 35920952, 80, 18674484, 151
1000000, 64, 35958974, 88, 18674976, 182
1000000, 64, 35912254, 88, 18674457, 161
1000000, 64, 35880267, 88, 18675117, 160
1000000, 64, 35896116, 88, 18673994, 178
1000000, 64, 35894495, 88, 18674643, 147
1000000, 64, 35931099, 80, 18674428, 157
1000000, 64, 35897392, 88, 18674634, 152
1000000, 64, 35967846, 80, 18674912, 153
1000000, 64, 35904961, 80, 18674735, 273
1000000, 64, 35908012, 88, 18675251, 151
1000000, 64, 35912395, 88, 18673986, 165
1000000, 64, 35957674, 80, 18673832, 161
1000000, 64, 35918888, 88, 18675116, 151
1000000, 64, 35890930, 87, 18673945, 167
1000000, 64, 35876489, 80, 18674555, 162
1000000, 64, 35920093, 80, 18674366, 158
1000000, 64, 35896314, 80, 18674660, 158
1000000, 64, 35935126, 72, 18673640, 152
1000000, 64, 35938542, 80, 18673716, 152
1000000, 64, 35928747, 88, 18674776, 151
1000000, 64, 35928343, 80, 18674139, 148
1000000, 64, 35908922, 88, 18673989, 151
1000000, 64, 35919615, 88, 18673219, 159
1000000, 64, 35922050, 80, 18675106, 159
1000000, 64, 35915215, 96, 18672729, 146
1000000, 64, 35938078, 80, 18674589, 150
1000000, 64, 35944124, 80, 18672824, 159
1000000, 64, 35909152, 80, 18674039, 159
1000000, 64, 36013286, 72, 18673508, 151
1000000, 64, 35934389, 80, 18674119, 151
1000000, 64, 35888608, 80, 18673481, 157
1000000, 64, 35949020, 72, 18674269, 184
1000000, 64, 35919430, 88, 18674876, 184
1000000, 64, 35959882, 93, 18674549, 192
1000000, 64, 35893567, 88, 18674683, 168
1000000, 64, 35836818, 80, 18674567, 184
1000000, 64, 35920799, 96, 18674920, 184
1000000, 64, 35904315, 88, 18673501, 192
1000000, 64, 35900398, 96, 18674933, 169
1000000, 64, 35924199, 80, 18674763, 160
1000000, 64, 35924831, 80, 18674275, 160
1000000, 64, 35961553, 80, 18673943, 163
1000000, 64, 35927302, 80, 18674388, 169
1000000, 64, 35912530, 88, 18673877, 200
1000000, 64, 35902375, 88, 18674802, 160
1000000, 64, 35926951, 88, 18673430, 169
1000000, 64, 35888311, 88, 18673288, 200
1000000, 64, 35991622, 80, 18674247, 159
1000000, 64, 35887431, 89, 18673368, 174
1000000, 64, 35971761, 88, 18673662, 232
1000000, 64, 35882333, 88, 18674547, 151
1000000, 64, 35917313, 80, 18674244, 152
1000000, 64, 35913808, 88, 18674508, 163
1000000, 64, 35972930, 88, 18673777, 176
1000000, 64, 35872521, 96, 18673374, 176
1000000, 64, 35945458, 88, 18673549, 160
1000000, 64, 35865783, 88, 18674567, 184
1000000, 64, 35919813, 88, 18673091, 168
1000000, 64, 35919330, 88, 18674307, 162
1000000, 64, 35897026, 83, 18673786, 159
1000000, 64, 35956362, 80, 18674670, 151
1000000, 64, 35893893, 80, 18674803, 161
1000000, 64, 35890312, 88, 18674801, 160
1000000, 64, 35914543, 80, 18674119, 160
1000000, 64, 35965299, 80, 18674298, 152
1000000, 64, 35874580, 88, 18674753, 161
1000000, 64, 35884593, 80, 18674506, 161
1000000, 64, 35933249, 88, 18675137, 161
1000000, 64, 35912135, 80, 18673690, 154
1000000, 64, 35919219, 88, 18673512, 193
1000000, 64, 35902435, 141, 18674719, 179
1000000, 64, 35946829, 96, 18675419, 250
1000000, 64, 35926563, 144, 18673970, 234
1000000, 64, 35944616, 129, 18674205, 250
1000000, 64, 35903397, 122, 18674067, 198
1000000, 64, 35872549, 104, 18674402, 152
1000000, 64, 35881247, 88, 18673921, 192
1000000, 64, 35898657, 96, 18673557, 184
1000000, 64, 35931686, 88, 18674059, 184
1000000, 64, 35899444, 96, 18673658, 161
